Timestamp,Value
0,109.6
1,112.01
2,112.82
3,108.79
4,116.85
5,83.81
6,103.96
7,91.87
8,112.01
9,81.39
10,91.06
11,99.12
12,83.0
13,106.37
14,103.15
15,99.93
16,95.9
17,112.01
18,87.84
19,112.82
20,78.17
21,95.9
22,112.82
23,84.62
24,116.85
25,92.67
26,106.37
27,97.51
28,78.17
29,115.24
30,74.14
31,79.78
32,97.51
33,96.7
34,78.17
35,81.39
36,83.81
37,112.01
38,103.15
39,97.51
40,107.18
41,103.96
42,92.67
43,93.48
44,110.4
45,111.21
46,108.79
47,119.27
48,83.0
49,100.73
50,113.63
51,96.7
52,104.76
53,114.43
54,106.37
55,104.76
56,83.81
57,84.62
58,110.4
59,78.97
60,99.93
61,86.23
62,94.29
63,76.56
64,85.42
65,114.43
66,97.51
67,101.54
68,110.4
69,120.88
70,111.21
71,99.93
72,107.18
73,104.76
74,94.29
75,88.64
76,113.63
77,114.43
78,92.67
79,124.1
80,80.59
81,82.2
82,99.12
83,103.15
84,95.9
85,106.37
86,107.99
87,87.03
88,97.51
89,109.6
90,95.09
91,108.79
92,117.66
93,103.15
94,74.14
95,112.82
96,111.21
97,112.82
98,104.76
99,97.51
100,99.12
101,101.54
102,87.84
103,112.01
104,84.62
105,87.03
106,107.18
107,95.09
108,113.63
109,88.64
110,104.76
111,87.84
112,107.99
113,111.21
114,88.64
115,112.82
116,91.87
117,87.84
118,83.0
119,74.14
120,97.51
121,91.06
122,114.43
123,91.87
124,103.15
125,75.75
126,81.39
127,91.06
128,117.66
129,103.96
130,86.23
131,111.21
132,107.99
133,78.97
134,103.96
135,107.18
136,105.57
137,78.97
138,103.96
139,84.62
140,114.43
141,78.17
142,111.21
143,78.97
144,104.76
145,78.17
146,105.57
147,105.57
148,111.21
149,86.23
150,92.67
151,78.97
152,91.87
153,113.63
154,85.42
155,92.67
156,112.82
157,78.17
158,99.12
159,112.01
160,109.6
161,94.29
162,108.79
163,81.39
164,101.54
165,101.54
166,112.82
167,99.93
168,108.79
169,91.87
170,92.67
171,82.2
172,107.99
173,83.81
174,113.63
175,93.48
176,106.37
177,106.37
178,107.99
179,91.87
180,92.67
181,105.57
182,93.48
183,93.48
184,118.46
185,98.32
186,78.97
187,114.43
188,103.15
189,107.99
190,83.81
191,107.99
192,103.96
193,106.37
194,73.33
195,84.62
196,74.14
197,91.06
198,95.9
199,107.99
200,79.78
201,107.99
202,95.09
203,78.17
204,106.37
205,101.54
206,115.24
207,94.29
208,91.06
209,92.67
210,112.82
